t,Bandit,Reward,Regret,TrueMean,Algorithm
357,3,2.333452707889892,0,4,ThompsonSampling
358,3,3.7646897072281633,0,4,ThompsonSampling
359,3,3.437184733500702,0,4,ThompsonSampling
360,3,4.613814322338111,0,4,ThompsonSampling
361,3,5.2972136033774255,0,4,ThompsonSampling
362,3,3.970092986533159,0,4,ThompsonSampling
363,3,3.613302420024213,0,4,ThompsonSampling
364,3,3.5386786275461244,0,4,ThompsonSampling
365,3,2.82188097290647,0,4,ThompsonSampling
366,3,2.7359827193724673,0,4,ThompsonSampling
367,3,2.9735330363084453,0,4,ThompsonSampling
368,3,4.32977391649742,0,4,ThompsonSampling
369,3,5.296808363592481,0,4,ThompsonSampling
370,3,3.8385077816997972,0,4,ThompsonSampling
371,3,3.7725322884828936,0,4,ThompsonSampling
372,3,3.374711473447916,0,4,ThompsonSampling
373,3,3.4765749349900057,0,4,ThompsonSampling
374,3,4.594921557851572,0,4,ThompsonSampling
375,3,4.370886201458888,0,4,ThompsonSampling
376,3,3.967175166126964,0,4,ThompsonSampling
377,3,3.3188720642769196,0,4,ThompsonSampling
378,3,4.149132278414784,0,4,ThompsonSampling
379,3,5.990152701429423,0,4,ThompsonSampling
380,3,3.422726806123119,0,4,ThompsonSampling
381,3,4.392648763439793,0,4,ThompsonSampling
382,3,3.270394349112136,0,4,ThompsonSampling
383,3,4.033053210015226,0,4,ThompsonSampling
384,3,4.4371711895173345,0,4,ThompsonSampling
385,3,4.78842915972553,0,4,ThompsonSampling
386,3,2.655522460018131,0,4,ThompsonSampling
387,3,3.1483541410593006,0,4,ThompsonSampling
388,3,3.287660779978034,0,4,ThompsonSampling
389,3,4.374912159369732,0,4,ThompsonSampling
390,3,2.4540637507323364,0,4,ThompsonSampling
391,3,3.501771136919742,0,4,ThompsonSampling
392,3,3.9249109136216673,0,4,ThompsonSampling
393,3,5.874718493694548,0,4,ThompsonSampling
394,3,3.1018492558401927,0,4,ThompsonSampling
395,3,4.045151563511182,0,4,ThompsonSampling
396,3,2.9819072811771594,0,4,ThompsonSampling
397,3,5.897909908716637,0,4,ThompsonSampling
398,3,5.232098980462352,0,4,ThompsonSampling
399,3,4.1043980100289055,0,4,ThompsonSampling
400,3,3.7742818508339817,0,4,ThompsonSampling
401,3,5.130351358370758,0,4,ThompsonSampling
402,3,3.2711246855537914,0,4,ThompsonSampling
403,3,4.2641564318930385,0,4,ThompsonSampling
404,3,2.310539520668932,0,4,ThompsonSampling
405,3,4.392764595067754,0,4,ThompsonSampling
406,3,4.154411670306634,0,4,ThompsonSampling
407,3,4.851232701052099,0,4,ThompsonSampling
408,3,3.797351596475826,0,4,ThompsonSampling
409,3,4.537396842208653,0,4,ThompsonSampling
410,3,4.079222549597789,0,4,ThompsonSampling
411,3,5.815538835504297,0,4,ThompsonSampling
412,3,3.743150201601285,0,4,ThompsonSampling
413,3,5.160571318549697,0,4,ThompsonSampling
414,3,4.084211582951898,0,4,ThompsonSampling
415,3,4.104075848307925,0,4,ThompsonSampling
416,3,3.0923460330040413,0,4,ThompsonSampling
417,3,3.0586450929112345,0,4,ThompsonSampling
418,3,1.6636320386390446,0,4,ThompsonSampling
419,3,2.7250896752582934,0,4,ThompsonSampling
420,3,4.700782530547977,0,4,ThompsonSampling
421,3,3.4193961034251585,0,4,ThompsonSampling
422,3,4.168163896905737,0,4,ThompsonSampling
423,2,3.9190445405654164,1,3,ThompsonSampling
424,3,2.5813733797519367,0,4,ThompsonSampling
425,3,3.501038437895855,0,4,ThompsonSampling
426,3,4.238427344844743,0,4,ThompsonSampling
427,3,3.781923184507591,0,4,ThompsonSampling
428,3,4.716724471473746,0,4,ThompsonSampling
429,3,2.2077916518262355,0,4,ThompsonSampling
430,3,3.312120637984975,0,4,ThompsonSampling
431,3,4.335365510506301,0,4,ThompsonSampling
432,3,3.179135133098315,0,4,ThompsonSampling
433,3,3.74436701307582,0,4,ThompsonSampling
434,3,4.6616916269696,0,4,ThompsonSampling
435,3,3.9904095224315657,0,4,ThompsonSampling
436,3,4.411232341459863,0,4,ThompsonSampling
437,3,4.5808236344701925,0,4,ThompsonSampling
438,3,2.8855078090935464,0,4,ThompsonSampling
439,3,2.812200511665201,0,4,ThompsonSampling
440,1,3.0051909109445445,2,2,ThompsonSampling
441,3,5.436694991493182,0,4,ThompsonSampling
442,3,3.667185114228538,0,4,ThompsonSampling
443,3,5.532769757460372,0,4,ThompsonSampling
444,3,2.168058508329333,0,4,ThompsonSampling
445,3,3.957728009010056,0,4,ThompsonSampling
446,3,3.1204750304204683,0,4,ThompsonSampling
447,3,5.34853574679488,0,4,ThompsonSampling
448,3,4.550483912421952,0,4,ThompsonSampling
449,3,3.9157991253471423,0,4,ThompsonSampling
450,3,3.477181387591319,0,4,ThompsonSampling
451,3,5.177140840975332,0,4,ThompsonSampling
452,3,2.0930923068127147,0,4,ThompsonSampling
453,3,5.576632593159744,0,4,ThompsonSampling
454,3,3.874278180272457,0,4,ThompsonSampling
455,3,5.079949215930418,0,4,ThompsonSampling
456,3,4.086720725869284,0,4,ThompsonSampling
457,3,4.6351771364911825,0,4,ThompsonSampling
458,3,4.4666749840285815,0,4,ThompsonSampling
459,3,3.230875961104328,0,4,ThompsonSampling
460,3,4.659290825617402,0,4,ThompsonSampling
461,3,4.34199430914293,0,4,ThompsonSampling
462,3,4.059883369860793,0,4,ThompsonSampling
463,3,2.802482938684718,0,4,ThompsonSampling
464,3,4.6827756368063405,0,4,ThompsonSampling
465,3,2.6375931174994456,0,4,ThompsonSampling
466,3,3.6291885724992627,0,4,ThompsonSampling
467,3,4.351076627482317,0,4,ThompsonSampling
468,3,3.9291666132701812,0,4,ThompsonSampling
469,3,4.114951128997706,0,4,ThompsonSampling
470,3,4.111564322704594,0,4,ThompsonSampling
471,3,5.513113504248268,0,4,ThompsonSampling
472,3,6.279130774418611,0,4,ThompsonSampling
473,3,5.883776074707429,0,4,ThompsonSampling
474,3,2.5358942920071126,0,4,ThompsonSampling
475,3,3.6778424495791486,0,4,ThompsonSampling
